Stock book code,Date,Work Title,width,height,materials,Ownership,
WM_94-10,1994,Vision of Sandra Genova,28,36,Oil on Canvas,Available,
wc-95-01,1995,Red Blue and Ochre (Study),,,Water Colour,Sold,
WM_95-01,1995,British Jungle Dances No.1,24,18,Oil on Canvas,Available,
WM_95-02,1995,British Jungle Dances No.2,27,31,Oil on Canvas,Available,
WM_95-03,1995,Fighting the Deamons,30,24,Oil on Canvas,Available,
WM_95-04,1995,British Jungle Dances No.3,24,30,Oil on Canvas,Available,
WM_95-05,1995,Delirium No.1,28,36,Oil on Canvas,Available,
WM_95-06,1995,Pursuit,28,36,Oil on Canvas,Available,
WM_96-01,1996,Centre Stage No.2,30,24,Oil on Canvas,Available,
WM_96-02,1996,Union Dance Delirium No.2,30,24,Oil on Canvas,Available,
WM_96-03,1996,Union Dance 'Arros Con Mangos No.1',28,23,Acrylic on Canvas,Available,
WM_96-04,1996,Angle Tarn Beck 'Arabesque',24,30,Acrylic on Canvas,Available,
WM_96-05,1996,Union Dance 'Arros Con Mangos No.2',28,36,Oil on Canvas,Available,
WM_96-07,1996,Union Dance 'The Thrill is Gone',48,36,Oil on Canvas,Available,
WM_96-08,1996,Centre Stage No.1,24,18,Oil on Canvas,Available,
WM_96-09,1996,Arros Con Mangos (Study),9,10,Oil on Board,Available,
WM_97-03,1997,Simone,24,30,Oil on Canvas,Available,
WM_97-06,1997,Guardian of the Pool,,,Limestone,Artist's Collection,
WM_97-11,1997,Tarn Rocks,30,23,Oil on Canvas,Available,
WM_97-12,1997,Distant Helvellyn,20,16,Oil on Canvas,Available,
WM_97-13,1997,Above Ullswater,20,16,Oil on Canvas,Available,
WM_97-14,1997,Above Small Water,20,16,Oil on Canvas,Available,
WM_97-15,1997,Save the Last Dance forMe,28,36,Acrylic on Canvas,Available,
WM_97-16,1997,Vertiginous No.3,30,24,Oil on Canvas,Sold,
WM_97-17,1997,Vertiginous No.1,48,36,Oil on Canvas,Sold,
WM_97-18,1997,Vertiginous No.2,30,40,Oil on Canvas,Sold,
WM_97-19,1997,Penrhyn Llyn No.1,24,30,Oil on Canvas,Available,
WM_97-20,1997,Penrhyn Llyn No.2,40,30,Oil on Canvas,Available,
WM_97-21,1997,Penrhyn Llyn No.3,24,18,Oil on Canvas,Available,
WM_98-01,1998,Knipe Scar No.1,18,24,Acrylic on Canvas,Available,
WM_98-02,1998,Knipe Scar No.2,24,30,Acrylic on Canvas,Available,
WM_98-03,1998,Lava flow,18,24,Acrylic on Canvas,Available,
WM_98-04,1998,Red Path No.1,24,18,Acrylic on Canvas,Available,
WM_98-05,1998,Red Path No.2,24,18,Acrylic on Canvas,Available,
WM_98-06,1998,Alps from Peach Air,17,12,Acrylic on Canvas,Available,
WM_98-07,1998,Carrara,16,20,Acrylic on Canvas,Available,
WM_98-08,1998,From the Hotel Belletini,12,14,Acrylic on Canvas,Available,
WM_98-10,1998,Ponte Vecchio,28,36,Oil on Canvas,Available,
WM_98-11,1998,Santo Spirito,20,16,Acrylic on Canvas,Sold,
WM_98-12,1998,Choice,30,24,Acrylic on Canvas,Available,
WM_98-13,1998,Gates of Paradise,18,24,Acrylic on Canvas,Available,
WM_98-14,1998,Naked Magdalene,21,31,Oil on Board,Artist's Collection,
WM_98-15,1998,Journeys End,18,24,Acrylic on Canvas,Artist's Collection,
WM_98-16,1998,Peoples Maddona No.1,24,18,Acrylic on Canvas,Artist's Collection,
WM_98-17,1998,Peoples Madonna (Leonardo),36,28,Acrylic on Canvas,Artist's Collection,
WM_98-18,1998,Penitent Magdalene,48,36,Acrylic on Canvas,Artist's Collection,
WM_98-20,1998,Christo,24,30,Acrylic on Canvas,Artist's Collection,
WM_98-21,1998,Death of a Princess,28,36,Oil on Canvas,Artist's Collection,
WM_98-22,1998,Awakening No.1,28,36,Oil on Canvas,Available,
WM_98-24,1998,Dumo,14,12,Acrylic on Canvas,Available,
WM_98-25,1998,Sky Hole,12,14,Acrylic on Canvas,Available,
WM_99-01,1999,Via Vecchia Fiesolana No.1,12,14,Acrylic on Canvas,Sold,
WM_99-02,1999,Via Vecchia Fiesolana No.2,24,30,Acrylic on Canvas,Sold,
WM_99-03,1999,Via Vecchia Fiesolana No.3,24,30,Acrylic on Canvas,Available,
WM_99-04,1999,Via Vecchia Fiesolana No.4,24,30,Acrylic on Canvas,Available,
WM_99-05,1999,Via Vecchia Fiesolana No.5,36,28,Acrylic on Canvas,Available,
WM_99-06,1999,Via Vecchia Fiesolana No.6,40,30,Oil on Canvas,Available,
WM_99-07,1999,Via Vecchia Fiesolana No.7,24,30,Oil on Canvas,Artist's Collection,
WM_99-08,1999,Fishermen No.1,40,30,Oil on Canvas,Available,
WM_99-11,1999,Via Dante Alighieri No.1,9.25,12.25,Oil on Board,Available,
WM_99-12,1999,Via Dante Alighieri No.2,9.25,12.25,Oil on Board,Available,
WM_99-13,1999,Via Bandini,8.5,9.5,Oil on Board,Available,
WM_99-14,1999,Prophet,,,Oak,Artist's Collection,
WM_99-15,1999,Crucifixion,48,36,Acrylic on Canvas,Artist's Collection,
WM_99-16,1999,Judgement,40,30,Acrylic on Canvas,Artist's Collection,
WM_99-17,1999,Solar Eclipse No.1,,,Acrylic on Canvas,Available,
WM_99-18,1999,I Really Like The Beauty of Our Weapons,36,48,Oil on Canvas,Artist's Collection,
WM_99-19,1999,Awakening No.2,40,30,Oil on Canvas,Available,
WM_99-20,1999,Fishermen No.2,7,10,Oil on Board,Available,
WM_99-21,1999,Fishermen No.3,11.5,14,Oil on Board,Available,
WM_99-22,1999,Via Vecchia Fiesolana the top,,,,,
WM_00-01,2000,Totem,,,Oak,Available,
WM_00-02,2000,Shepherd,,,Lazonby Sandstone,Available,
WM_00-04,2000,Cannon,,,Beech,Available,
WM_00-05,2000,Family,,,Oak,Available,
WM_00-07,2000,Omaggio alla vagina,,,Oak,Available,
WM_00-08,2000,Lunar Eclipse,12,14,Acrylic on Canvas,Available,
WM_00-09,2000,Solar Eclipse No.2,24,30,Acrylic on Canvas,Available,
WM_00-10,2000,Flight,,,Beech,Sold,
WM_01-03,2001,Homage to Hepworth,,,Beech,Sold,
WM_01-04,2001,Whale Moor Marble,,,Marble,Available,
WM_01-05,2001,Together,,,Lazonby Sandstone,Available,
WM_01-06,2001,Cattle Fire,10,12,Oil on Board,Available,
WM_01-07,2001,Floral Explosion No.1,8,9,Oil on Board,Available,
WM_01-08,2001,Floral Explosion No.2,10,12.5,Oil on Board,Available,
WM_02-01,2002,Fordingdale Force,24,30,Oil on Canvas,Sold,
WM_02-03,2002,Tarn Rocks,10,12,Oil on Canvas,Sold,
WM_02-05,2002,Crinkle Crags No.1,24,30,Acrylic on Canvas,Sold,
WM_02-06,2002,Crinkle Crags No.2,36,28,Acrylic on Canvas,Sold,
WM_02-07,2002,Mother and Child,,,Greengage and Beech,Available,
WM_02-08,2002,Angel of Whale Moor,,,Beech,Available,
WM_02-10,2002,Collar,,,Beech,Available,
WM_02-10-3,2002,Collar - Reverse Face,,,Beech,Available,
WM_02-12,2002,Smoker,,,Rose,Available,
WM_03-02,2003,Loadpot,10,12,Oil on Board,Available,
WM_03-03,2003,Limestone Pavement,14,12,Oil on Board with Painted Wooden Sculpture,Available,
WM_03-04,2003,Bower,14,12,Oil on Canvas with Beach Sculpture and Sculpture,Available,
WM_03-05,2003,Red Cliff,30,40,Oil on Canvas,Sold,
WM_03-06,2003,Warrior,,,Oak,Available,
WM_03-09,2003,Balance,,,Shap Granite,Available,
WM_03-10,2003,Curl,,,Shap Granite,Available,
WM_03-11,2003,Sickle,,,Beech,Available,
WM_03-13,2003,Bunker Buster No.1,36,28,Oil on Canvas,Available,
WM_03-14,2003,Bunker Buster No.2 (Give Peace a Chance),36,28,Oil on Canvas,Available,
WM_03-15,2003,Suffer the Little Children,24,30,Acrylic on Canvas,Available,
WM_04-01,2004,Homage to Brancusi,,,Limestone,Available,
WM_04-03,2004,Homage to Michelangelo,,,Carrara Marble,Artist's Collection,
WM_04-04,2004,Scar Surfer,12,9,Oil on Board with Spanish Chestnut Surfer,Available,
WM_04-05,2004,Scar 'Strange Glow',18,24,Acrylic on Canvas,Available,
WM_04-06,2004,Norfolk Trapped Flints Sunrise,16,20,Acrylic on Canvas,Available,
WM_04-07,2004,Keepers of the Stone,,,Limestone on Carrara Marble Base,Available,
WM_04-08,2004,Needles Lighthouse,14,12,Oil on Board with Painted Beech Sculpture & Frame,Available,
WM_04-09,2004,Needles,36,29,Oil on Canvas with Painted Beech Sculpture & Pine Frame,Available,
WM_04-10,2004,Guardian,,,Black Limestone,Available,
WM_04-11,2004,Measand Falls,24,18,Oil on Canvas,Available,
WM_04-12,2004,Poppy,12,14,Oil on Canvas,Available,
WM_04-13,2004,Pansy Family Members,12,14,Oil on Canvas,Available,
WM_04-14,2004,Floral Explosion No.4,16,20,Oil on Canvas,Available,
WM_04-15,2004,Lupins No.1,18,24,Oil on Canvas,Available,
WM_04-16,2004,Lupins No.2,18,24,Oil on Canvas,Available,
WM_04-17,2004,London Bridge Magenta,16,20,Acrylic on Canvas,Available,
WM_04-18,2004,Where Eagles Dare,16,20,Oil on Canvas,Available,
WM_04-19,2004,Nolfolk Groyne Flint,24,30,Acrylic on Canvas,Available,
WM_04-20,2004,Zen Kendo' Buddah,,,Shap Granite,Sold,
WM_05-01,2005,Scar with Gold Lava,30,24,Acrylic on Canvas,Sold,
WM_05-02,2005,Solway Sunset,16,20,Oil on Canvas,Available,
WM_05-03,2005,Sharp Decent,10,12,Oil on Board,Available,
WM_05-04,2005,Rough Crag,8,8,Oil on Board,Available,
WM_05-05,2005,Now We Have Come to the Naming of Parts,,,Hawthorne,Available,
WM_05-06,2005,Wood Woman,,,Oak,Available,
WM_05-07,2005,"Naze, steam Rising",14,12,Oil on Board,Available,
WM_05-08,2005,"Naze, Low Tide",14,12,Oil on Board,Available,
WM_05-09,2005,"Naze, Sunrise",12,10,Oil on Board,Available,
WM_05-11,2005,"Naze, North End No.2",12,10,Oil on Board,Available,
WM_05-12,2005,The Island 'Diving Rock',36,28,Acrylic on Canvas,Available,
WM_05-13,2005,The Island 'Lookout Rock',36,28,Acrylic on Canvas,Available,
WM_05-14,2005,Helm Pike - The Way Home,24,30,Oil on Canvas,Available,
WM_06-02,2006,Scar Gold Light,14,16,Oil on Board,Available,
WM_06-03,2006,Loadpot from the Scar,8,8.5,Oil on Board,Available,
WM_06-04,2006,Allonby,10,12,Oil on Board,Available,
WM_06-05,2006,High Places,14,12,Oil on Board,Available,
WM_06-06,2006,Gollum,,,Bog Ash,Available,
WM_06-07,2006,St Ninian's Cave,,,Dumfries Granite ,Available,
WM_06-10,2006,Early Snow Line,20,16,Oil on Canvas,Available,
WM_06-11,2006,Scar Deep Hole,10,12,Oil on Board,Available,
WM_07-01,2007,Coniston Low Water,36,28,Acrylic on Canvas,Available,
WM_07-02,2007,Coniston Looking Down,30,24,Acrylic on Canvas,Available,
WM_07-03,2007,Coniston The Way Ahead,24,30,Acrylic on Canvas,Sold,
WM_07-04,2007,Storm Chasing,16,22,Acrylic on Canvas,Available,
WM_07-06,2007,Nestled,,,Carrara Marble,Available,
WM_07-07,2007,Sandwood Bay No.1,14,12,Oil on Canvas,Available,
WM_07-08,2007,Sandwood Bay No.2,14,12,Oil on Canvas,Available,
WM_08-01,2008,Quiraing 'The Prison',23,28,Oil on Canvas,Available,
WM_08-02,2008,Quiraing 'Looking Down',20,16,Oil on Canvas,Available,
WM_08-03,2008,Crib Goch,,,Jasper,Available,
WM_08-04,2008,Sisyphus,,,Jasper,Available,
WM_08-05,2008,Entwined,,,Jasper,Available,
WM_08-06,2008,Hermit Crab,,,Quarzite,Available,
WM_08-07,2008,Seal Pup,,,Llyn Marble and Jasper,Available,
WM_08-08,2008,Uruk-hai,,,Bog Ash,Available,
WM_08-09,2009,Sphinx,,,Aberdeen Granite,Available,
WM_09-01,2009,Muse,,,Oak,Available,
WM_09-03,2009,Blow Hole No.1,30,24,Oil on Canvas,Available,
WM_09-04,2009,Llyn Low Water,24,30,Acrylic on Canvas,Sold,
WM_09-05,2009,Blow Hole No.2,23,28,Acrylic on Canvas,Available,
WM_09-06,2009,Seahorse,28,36,Acrylic on Canvas,Sold,
WM_09-07,2009,Marble and Jasper,14,12,Oil on Canvas,Available,
WM_10-01,2010,Rock Arch,40,30,Acrylic on Canvas,Available,
WM_10-02,2010,Wipe Out,24,30,Acrylic on Canvas,Available,
WM_10-03,2010,Balanced Granite,,,Cree Town Granite,Available,
WM_10-04,2010,Cave Fire Light (Digital),,,Digital File,Available,
photo_11-01,2011,Liddle Portrait,,,&#169; Julia McIntosh Photography,,
WM_11-01,2011,"Runswick, Siderite Nodules No.1",24,20,Acrylic on Canvas,Available,
WM_11-02,2011,"Runswick, Siderite Nodules No.2",22,16,Acrylic on Paper,Available,
WM_12-01,2012,Magenta Dawn,24,30,Acrylic on Canvas,Artist's Collection,
WM_12-02,2012,Portholland Beach,30,24,Acrylic on Canvas,Available,
WM_12-03,2012,Portholland No.5 ,7.5,5.5,Oil on Paper,Available,
WM_12-04,2012,Cliff Path No.1,5.5,7.5,Oil on Paper,Available,
WM_12-05,2012,Cliff Path No.2,7.5,5.5,Oil on Paper,Available,
WM_13-02,2013,Lacy Caves 'Which Way Now',16,23,Acrylic on Acid-Free Paper,Available,
WM_13-03,2013,Lacy Caves 'Apparition',23,16,Acrylic on Acid-Free Paper,Available,
WM_13-04,2013,Sandstone Slabs Maryport No1,30,24,Acrylic on Canvas,Available,
WM_13-05,2013,Sandstone Slabs Maryport No2,30,24,Acrylic on Canvas,Available,
WM_14-01,2014,Sunset Kippford,24,30,Acrylic on Canvas,Available,
WM_14-02,2014,Shell Beach Kippford No1,30,24,Acrylic on Canvas,Available,
WM_14-03,2014,Shell Beach Kippford No2,22.5,16,Acrylic on Paper,Available,
WM_14-04,2014,Runswick 2014,22.5,16,Acrylic on Paper,Available,
WM_14-05,2014,"Runswick, Iron Man",30,21,Acrylic on Canvas,Available,
WM_14-06,2014,The Greeb No1,20,24,Oil on Canvas,Available,
WM_14-07,2014,The Greeb No2,24,30,Oil on Canvas,Available,
WM_14-08,2014,The Greeb No3,20,24,Acrylic on Canvas,Available,
WM_14-09,2014,Dawn Wave Portholland,20,16,Acrylic on Linen,Available,
WM_14-10,2014,Rock Reflection Ullswater,24,30,Acrylic on Canvas,Available,
WM_15-01,2015,Beck Falls,24,30,Acrylic on Canvas,Available,
WM_15-02,2015,The Maiden Rock,28,36,Acrylic on Linen,Available,
WM_15-03,2015,Dog Rock,28,36,Acrylic on Linen,Available,
WM_15-04,2015,Eye of the Storm,24,30,Oil on Linen,Available,
WM_15-05,2015,Good Surf,12,8,Oil on Paper,Available,
WM_15-06,2015,On the Beach,12,8,Oil on Paper,Available,
WM_15-07,2015,Perbargus,9.25,11,Oil on Paper,Available,
WM_15-08,2015,Washing Machine,9.25,11,Oil on Paper,Available,
WM_15-09,2015,Splash,8,12,Oil on Paper,Available,
WM_15-10,2015,Storm,12,8,Oil on Paper,Available,
WM_15-11,2015,Dawn Wave,8,12,Oil on Paper,Available,
WM_16-01,2016,Into The Seed Wave,30,24,Oil on Linen,Available,
WM_16-02,2016,Luna Eclipse Portholland,28,36,Acrylic on Linen,Available,
WM_16-03,2016,Dawn Light Portholland,28,36,Acrylic on Linen,Available,
WM_16-04,2016,Backwash,24,30,Acrylic on Linen,Available,
WM_16-05,2016,Seaweed Wave,11,8,Oil on Paper,Available,
WM_16-06,2016,Weed Wave,8,11,Oil on Paper,Available,
WM_16-07,2016,Gull Rock Dawn,8,11,Oil on Paper,Available,
WM_16-08,2016,Eclipse,8,11,Oil on Paper,Available,
WM_16-09,2016,Gull Rock Sunset,8,11,Oil on Paper,Available,
WM_16-10,2016,After the Storm,11,8,Oil on Paper,Available,
WM_16-11,2016,Backwash,8,11,Oil on Paper,Available,
WM_16-12,2016,Spurt,8,11,Oil on Paper,Available,
